Temperature (C),Humidity
26.12777778,0.58
28.83888889,0.51
29.00555556,0.51
31.03333333,0.45
31.13333333,0.36
31.13333333,0.41
31.21111111,0.41
30.02222222,0.48
27.87222222,0.58
25.40555556,0.66
22.75555556,0.79
22.68888889,0.79
21.2,0.84
21.55,0.81
21.43888889,0.82
19.50555556,0.92
19.86111111,0.88
19.33333333,0.87
18.75,0.91
18.84444444,0.9
19.91111111,0.87
22.10555556,0.81
24.95,0.69
25,0.74
27.3,0.67
27.96666667,0.62
30.11666667,0.5
31.04444444,0.45
31.20555556,0.47
32.17222222,0.42
32.54444444,0.4
31.03888889,0.44
28.95555556,0.54
26.47777778,0.64
22.91666667,0.73
23.38333333,0.73
22.45,0.83
22.6,0.77
19.98333333,0.9
20.95555556,0.87
18.87222222,0.9
18.33888889,0.93
18.85,0.93
17.27777778,0.99
19.91666667,0.87
23.6,0.74
25.99444444,0.61
27.73333333,0.55
28.79444444,0.5
29.88333333,0.47
30.97222222,0.45
31.91666667,0.41
32.12777778,0.42
32.12777778,0.39
31.08333333,0.44
31.01666667,0.44
27.26666667,0.64
25.45555556,0.68
22.8,0.84
23.21666667,0.79
22.23888889,0.85
20.41666667,0.84
19.88333333,0.85
16.81111111,0.92
19.37777778,0.9
18.86666667,0.93
18.88333333,0.93
17.87222222,0.97
18.93888889,0.99
20.08888889,0.92
21.08888889,0.87
22.17777778,0.81
23.53333333,0.71
23.84444444,0.69
24.95555556,0.62
25.92222222,0.58
24.96111111,0.62
